x,Rzeczywiste wartości,Wartości z wyrażenia
0.0,0.0,
0.99,1.376269277472802,1.368876400792315
1.98,2.183846601034626,2.190059440945416
2.97,2.7575321893981983,2.8164697713409197
3.96,3.202811481473672,3.2016141441468027
4.95,3.5667824391150766,3.6042897723136034
5.94,3.874603549037426,3.8890097356025635
6.93,4.1413060712935135,4.062731578961511
7.92,4.376591893183836,4.38822966983472
8.91,4.587088696683793,4.587644322820682
9.9,4.777525578470196,4.7736208278973455
10.89,4.951395421405381,4.945723290210461
11.88,5.111351441352415,5.105417822883318
12.87,5.259456468653481,5.254123380244971
13.86,5.397346078579226,5.393058187177737
14.85,5.526339000646579,5.523252741924798
15.84,5.647514017628361,5.645581672713801
16.83,5.7617648637500976,5.760792722087548
17.82,5.8698402683144675,5.869530126517424
18.81,5.972373721420919,5.972353028265946
19.8,6.069905973414545,6.069749991017154
20.79,6.162902297913057,6.162150565751018
21.78,6.251765916038072,6.24993473395675
22.77,6.336848562744205,6.333441697465976
23.76,6.418458895632791,6.413025536220334
24.75,6.49686925421949,6.488754552694781
25.74,6.572321143347594,6.56110840400051
26.73,6.645029719255374,6.630208906282991
27.72,6.715187488360047,6.696258696678703
28.71,6.782967378949032,6.759438953285437
29.7,6.848525309186303,6.81991447542465
30.69,6.912002347405659,6.877835882505289
31.68,6.973526539983604,6.933341282550844
32.67,7.033214466345966,6.986557669296631
33.66,7.09117256857492,7.03760212210444
34.65,7.14749829372061,7.086582846910488
35.64,7.2022810796118595,7.13360008442641
36.63,7.255603209210692,7.1787469058036955
37.62,7.307540554000736,7.22210991209886
38.61,7.358163223267651,7.263769851039991
39.6,7.407536133215374,7.303802162387031
40.59,7.455719507509641,7.342277461405568
41.58,7.502769318930667,7.379261968526419
42.57,7.548737680258702,7.4148178920685135
43.56,7.593673191238057,7.4490037699087335
44.55,7.637621247411935,7.4818747751506365
45.54,7.680624315748291,7.513482990144445
46.53,7.722722181251836,7.543877652619686
47.52,7.7639521681516985,7.573105377190568
48.51,7.804349338746663,7.601210355067433
49.5,7.843946672562629,7.628234534443051
50.49,7.8827752281161,7.654217783710019
51.48,7.920864289271667,7.679198039396914
52.47,7.95824149792128,7.703211440478956
53.46,7.994932974491227,7.726292450518102
54.45,8.030963427592752,7.7484739689121955
55.44,8.066356253969227,7.76978743237723
56.43,8.101133629752411,7.790262907641575
57.42,8.13531659391919,7.809929176169859
58.41,8.1689251247353,7.828813811442633
59.4,8.201978209881538,7.846943248134552
60.39,8.23449391087881,7.864342830485406
61.38,8.266489422359314,7.881037970612554
62.37,8.297981126670852,7.897049277071304
63.36,8.328984644248365,7.912401802424083
64.35,8.35951488014046,7.927116449313126
65.34,8.389586067037813,7.941214040152023
66.33,8.41921180511438,7.954714641440932
67.32,8.44840509896063,7.96763759087893
68.31,8.477178391859786,7.980001531106993
69.3,8.505543597633238,7.991824442289468
70.29,8.533512130259075,8.003123672777958
71.28,8.561094931448055,8.013915967845696
72.27,8.588302496343745,8.024217496606528
73.26,8.615144897497869,8.034043877253135
74.25,8.641631807257971,8.043410200746026
75.24,8.667772518691892,8.052331053075918
76.23,8.693575965162346,8.060820536211972
77.22,8.719050738654737,8.068892287838562
78.21,8.744205106952377,8.076559499974032
79.2,8.769047029744938,8.08383493655661
80.19,8.79358417374871,8.090730950074905
81.18,8.817823926910528,8.09725949731365
82.17,8.841773411761192,8.103432154278984
83.16,8.8654394979788,8.109260130362042
84.15,8.888828814217394,8.114754281794427
85.14,8.911947759251929,8.119925124444588
86.13,8.93480251248639,8.124782845999896
87.12,8.957399043868286,8.129337317575471
88.11,8.979743123249257,8.13359810478735
89.1,9.001840329228584,8.137574478324495
90.09,9.023696057513437,8.141275424051317
91.08,9.045315528827254,8.1447096526698
92.07,9.066703796395238,8.14788560896805
93.06,9.087865753033803,8.150811480679888
94.05,9.108806137868877,8.153495206978254
95.04,9.129529542706106,8.1559444866234
96.03,9.150040418074417,8.158166785785262
97.02,9.170343078962803,8.16016934555795
98.01,9.190441710268846,8.161959189182964
99.0,9.210340371976184,8.163543128996515
