x,Rzeczywiste wartości,Wartości z wyrażenia
-3.14,-1.0015913846440263,-0.9431381551352075
-3.0772,-1.0622756723969533,-1.036534813296441
-3.0144,-1.1187718915562195,-1.114854369779211
-2.9516,-1.1708573032911531,-1.1801576868855617
-2.8888,-1.2183265585734901,-1.2340995491571451
-2.826,-1.260992507774957,-1.2780218234655252
-2.7632,-1.2986869385129198,-1.3130220974095261
-2.7004,-1.3312612388351022,-1.3400050269018906
-2.6376,-1.3585869831287518,-1.3597212885759098
-2.5748,-1.3805564384442692,-1.3727975133033732
-2.512,-1.3970829892371055,-1.3797595688086524
-2.4492,-1.4081014788533555,-1.3810508780106197
-2.3864,-1.4135684664127377,-1.3770469916444417
-2.3236,-1.4134623980761738,-1.3680673072424063
-2.2608,-1.4077836920227493,-1.3543845956437206
-2.198,-1.3965547368010234,-1.3362328307562872
-2.1352,-1.3798198030611921,-1.3138136983089854
-2.0724,-1.357644869016099,-1.2873020713213592
-2.0096,-1.3301173603192293,-1.256850674750816
-1.9468,-1.297345805385223,-1.2225941128578917
-1.884,-1.259459407511821,-1.1846523957653703
-1.8212,-1.21660753549018,-1.1431340732830555
-1.7584,-1.168959134711837,-1.098139062027611
-1.6956,-1.1167020610940674,-1.049761234510417
-1.6328,-1.0600423404496644,-0.998090824958014
-1.57,-0.9992033562211013,-0.9432166952416846
-1.5072,-0.93442496878148,-0.8852284947167982
-1.4444,-0.865962569774451,-0.8242187394539767
-1.3816,-0.7940860752214192,-0.7602848288290446
-1.3188,-0.7190788613657473,-0.693531010324148
-1.256,-0.6412366474494458,-0.6240702962604034
-1.1932,-0.5608663298270435,-0.5520263284868553
-1.1304,-0.4782847720132042,-0.47753517786509997
-1.0676,-0.3938175554343714,-0.4007470527875661
-1.0048,-0.3077976958096657,-0.3218278703252128
-0.942,-0.2205643302217552,-0.2409606024656623
-0.8792,-0.1324613800539781,-0.1583462105902095
-0.8164,-0.043836195065154,-0.07420369243027554
-0.7536,0.0449618160521303,0.011232266095166428
-0.6908,0.13358256323067,0.0977223766232655
-0.628,0.2216766552741404,0.1850841789078845
-0.5652,0.3088967773472673,0.2741220254366746
-0.5024,0.39489906027985194,0.3578049735556797
-0.4396,0.47934443628610884,0.44618712830988005
-0.3768,0.5618999757543363,0.5329000343209644
-0.314,0.6422401998365629,0.6185097836715064
-0.2512,0.7200483636632321,0.702580252115596
-0.1884,0.7950177051237918,0.7847091958880317
-0.1256,0.8668526542898166,0.8644664343064783
-0.0628,0.9352699987124602,0.9414094787689714
0.0,1.0,
0.0628,1.0607874572733196,1.0850805809985744
0.1256,1.1173927133066062,1.1509181055702418
0.1884,1.1695925993865126,1.212194048273341
0.2512,1.2171813151646314,1.268503927741876
0.314,1.2599712400344272,1.3194698426076086
0.3768,1.2977936728337354,1.3647451585081547
0.4396,1.33049949695652,1.404019730937589
0.5024,1.3579597682516555,1.437024728278589
0.5652,1.3800662233909187,1.4635368420189656
0.628,1.3967317067019243,1.483381740947622
0.6908,1.4078905137832003,1.4964366571492909
0.7536,1.413498650546683,1.5026320218068825
0.8164,1.4135340066663447,1.501952101936543
0.8792,1.4079964427491272,1.4944346244191904
0.942,1.3969077908845051,1.4801694093073847
1.0048,1.3803117685705142,1.459296068439576
1.0676,1.3582738063555875,1.432000856047144
1.1304,1.3308807898757413,1.3985127837324907
1.1932,1.29824071730413,1.3590991317658914
1.256,1.2604822735634942,1.3140605014019267
1.3188,1.2177543229801897,1.2637255586513794
1.3816,1.170225322380029,1.2084456189263006
1.4444,1.1180826569398299,1.1485892148709076
1.5072,1.0615319014131088,1.0845367774744328
1.57,1.0007960096425679,1.0166755444095787
1.6328,0.936114435554755,0.9453947907168707
1.6956,0.8677421891024206,0.8710814567130774
1.7584,0.7959488308765542,0.7941162274949266
1.8212,0.7210174093518897,0.7148700986303773
1.884,0.6432433449558362,0.6337014443711788
1.9468,0.5629332653604397,0.5509535885581337
2.0096,0.4804037965892919,0.46695286468684827
2.0724,0.3959803147054914,0.3820071405243237
2.1352,0.3099956630021995,0.29640477421699024
2.198,0.222788839753305,0.21041396287819375
2.2608,0.1347036616978053,0.1242824409611656
2.3236,0.0460874085271859,0.038237484023395656
2.3864,-0.0427105462800539,-0.04751382655077854
2.4492,-0.1313401128787125,-0.13278412100853032
2.512,-0.2194518653015148,-0.21740508169597073
2.5748,-0.3066984190863631,-0.30122664432477236
2.6376,-0.3927358008548711,-0.3841160943189999
2.7004,-0.4772248044425491,-0.46595708875525693
2.7632,-0.5598323282340343,-0.5466486327609658
2.826,-0.6402326884308739,-0.6261040184031542
2.8888,-0.7181089030742317,-0.7042497892933459
2.9516,-0.7931539417602165,-0.7810246745580083
3.0144,-0.8650719361207592,-0.8563785764613291
3.0772,-0.9335793462976785,-0.9302715794559177
3.14,-0.9984060788110527,-1.0026730021904913
